"Report Name: My Account Performance Report"
"Report Time: 10/1/2020,11/7/2020"
"Time Zone: Various"
"Last Completed Available Day: 11/6/2020 9:05:00 PM (GMT)"
"Last Completed Available Hour: 11/6/2020 9:05:00 PM (GMT)"
"Report Aggregation: Daily"
"Report Filter: "
"Potential Incomplete Data: true"
"Rows: 501"

"TimePeriod","AccountNumber","AccountName","Impressions","Clicks","Spend"
"2020-10-01","B004295N","Lenovo Belgium","706","117","117.59"
"2020-10-01","B004ETLE","Lenovo Italy","3519","227","54.82"
"2020-10-01","B004SUHL","Lenovo Norway","324","25","7.62"
"2020-10-01","B004V7BM","Lenovo Spain","9834","675","263.82"
"2020-10-01","F1071RW6","Lenovo Switzerland Direct","1236","86","55.07"
"2020-10-01","F1074ELB","Lenovo Finland Direct","274","23","6.57"
"2020-10-01","F107DTZT","Lenovo Sweden Direct","1075","78","28.68"
"2020-10-01","F107MVC9","Lenovo Ireland Direct","1336","60","14.42"
"2020-10-01","F107P4UT","Lenovo UK Direct","11243","618","460.32"
"2020-10-01","X0006AXW","Bing Lenovo NL","5002","267","162.09"
"2020-10-01","X000XGAU","Bing Lenovo DK","558","60","16.55"
"2020-10-01","X7004130","Lenovo Austria Direct","1722","111","23.41"
"2020-10-01","X7356537","Lenovo Germany Direct","4997","262","196.66"
"2020-10-01","X8349003","Lenovo France Direct","11220","676","689.07"
"2020-10-02","B004295N","Lenovo Belgium","629","112","129.03"
"2020-10-02","B004ETLE","Lenovo Italy","3447","262","64.91"
"2020-10-02","B004SUHL","Lenovo Norway","243","23","5.97"
"2020-10-02","B004V7BM","Lenovo Spain","11787","697","268.89"
"2020-10-02","F1071RW6","Lenovo Switzerland Direct","1532","98","74.61"
"2020-10-02","F1074ELB","Lenovo Finland Direct","242","12","2.88"
"2020-10-02","F107DTZT","Lenovo Sweden Direct","853","60","23.15"
"2020-10-02","F107MVC9","Lenovo Ireland Direct","1275","53","18.18"
"2020-10-02","F107P4UT","Lenovo UK Direct","9759","500","352.71"
"2020-10-02","X0006AXW","Bing Lenovo NL","3750","214","117.13"
"2020-10-02","X000XGAU","Bing Lenovo DK","437","51","16.00"
"2020-10-02","X7004130","Lenovo Austria Direct","1363","84","20.41"
"2020-10-02","X8349003","Lenovo France Direct","11165","678","733.87"
"2020-10-03","B004295N","Lenovo Belgium","510","77","68.20"
"2020-10-03","B004ETLE","Lenovo Italy","1062","154","55.02"
"2020-10-03","B004SUHL","Lenovo Norway","135","14","5.20"
"2020-10-03","B004V7BM","Lenovo Spain","11367","625","282.35"
"2020-10-03","F1071RW6","Lenovo Switzerland Direct","778","75","58.53"
"2020-10-03","F1074ELB","Lenovo Finland Direct","203","15","6.60"
"2020-10-03","F107DTZT","Lenovo Sweden Direct","775","42","15.57"
"2020-10-03","F107MVC9","Lenovo Ireland Direct","692","49","12.49"
"2020-10-03","F107P4UT","Lenovo UK Direct","6519","436","276.11"
"2020-10-03","X0006AXW","Bing Lenovo NL","2919","135","66.01"
"2020-10-03","X000XGAU","Bing Lenovo DK","292","30","8.50"
"2020-10-03","X7004130","Lenovo Austria Direct","1158","93","23.05"
"2020-10-03","X8349003","Lenovo France Direct","9669","640","574.94"
"2020-10-04","B004295N","Lenovo Belgium","514","87","84.76"
"2020-10-04","B004ETLE","Lenovo Italy","1070","178","52.98"
"2020-10-04","B004SUHL","Lenovo Norway","148","14","1.15"
"2020-10-04","B004V7BM","Lenovo Spain","10282","617","276.89"
"2020-10-04","F1071RW6","Lenovo Switzerland Direct","787","60","39.34"
"2020-10-04","F1074ELB","Lenovo Finland Direct","256","24","7.60"
"2020-10-04","F107DTZT","Lenovo Sweden Direct","895","76","31.42"
"2020-10-04","F107MVC9","Lenovo Ireland Direct","721","53","10.44"
"2020-10-04","F107P4UT","Lenovo UK Direct","6297","459","280.56"
"2020-10-04","X0006AXW","Bing Lenovo NL","4010","192","84.51"
"2020-10-04","X000XGAU","Bing Lenovo DK","336","44","13.07"
"2020-10-04","X7004130","Lenovo Austria Direct","1131","85","22.57"
"2020-10-04","X8349003","Lenovo France Direct","10258","663","598.73"
"2020-10-05","B004295N","Lenovo Belgium","615","99","108.03"
"2020-10-05","B004ETLE","Lenovo Italy","4086","283","70.67"
"2020-10-05","B004SUHL","Lenovo Norway","280","27","4.30"
"2020-10-05","B004V7BM","Lenovo Spain","14084","721","304.78"
"2020-10-05","F1071RW6","Lenovo Switzerland Direct","1412","114","100.64"
"2020-10-05","F1074ELB","Lenovo Finland Direct","314","21","5.52"
"2020-10-05","F107DTZT","Lenovo Sweden Direct","1195","97","35.79"
"2020-10-05","F107MVC9","Lenovo Ireland Direct","540","59","19.00"
"2020-10-05","F107P4UT","Lenovo UK Direct","11548","519","327.87"
"2020-10-05","X0006AXW","Bing Lenovo NL","5967","257","158.76"
"2020-10-05","X000XGAU","Bing Lenovo DK","538","52","19.77"
"2020-10-05","X7004130","Lenovo Austria Direct","1570","90","24.51"
"2020-10-05","X8349003","Lenovo France Direct","13034","779","829.30"
"2020-10-06","B004295N","Lenovo Belgium","673","104","111.66"
"2020-10-06","B004ETLE","Lenovo Italy","4046","311","70.16"
"2020-10-06","B004SUHL","Lenovo Norway","277","23","3.35"
"2020-10-06","B004V7BM","Lenovo Spain","15088","736","344.41"
"2020-10-06","F1071RW6","Lenovo Switzerland Direct","1240","98","71.54"
"2020-10-06","F1074ELB","Lenovo Finland Direct","509","26","8.77"
"2020-10-06","F107DTZT","Lenovo Sweden Direct","1084","76","31.68"
"2020-10-06","F107MVC9","Lenovo Ireland Direct","536","44","12.86"
"2020-10-06","F107P4UT","Lenovo UK Direct","11078","434","328.11"
"2020-10-06","X0006AXW","Bing Lenovo NL","5079","210","123.68"
"2020-10-06","X000XGAU","Bing Lenovo DK","555","60","18.74"
